RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB38 7AA,327650.0,849170.0
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH7 4HA,285630.0,723580.0
54,Highland_Park,2,2,3,1,0,2,1,1,1,2,1,1,KW15 1SU,345340.0,1009260.0
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB56 5AB,342610.0,863970.0
56,Isle_of_Jura,2,1,2,2,0,1,1,0,2,1,1,1,PA60 7XT,152660.0,667040.0
57,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB38 7RT,319470.0,841570.0
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA42 7DZ,140430.0,645730.0
59,Laphroaig,4,2,4,4,1,0,0,1,1,1,0,0,PA42 7DU,138680.0,645160.0
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV30 3RD,322640.0,861040.0
61,Loch_Lomond,1,1,1,1,0,1,1,0,1,2,1,2,G83 0TL,239370.0,680920.0
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV30 3SJ,322640.0,861040.0
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,327710.0,844480.0
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 3SS,322640.0,861040.0
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 3TQ,322640.0,861040.0
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,332950.0,839850.0
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,185940.0,730190.0
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YE,370860.0,772900.0
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,336730.0,950130.0
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,286040.0,851320.0
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,326140.0,794370.0
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,342850.0,1008930.0
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,326930.0,851430.0
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,278740.0,800600.0
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,172280.0,620910.0
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 3BS,340754.0,848623.0
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,342650.0,850500.0
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,137950.0,831770.0
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,319210.0,841760.0
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,321180.0,826110.0
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,265360.0,869120.0
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,150450.0,755070.0
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,279120.0,829630.0
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,315100.0,825560.0
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,315180.0,834960.0
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,289690.0,708850.0
